50.3,89.7,267,40,0,0,0,0
30.3,88.6,265,40,0,0,0,0
37.5,89.3,265,40,0,0,0,0
12.1,88.3,265,40,0,0,0,0
26.8,88.8,265,40,0,0,0,0
28.8,88.6,265,40,0,0,0,0
49.0,88.4,265,40,0,0,0,0
30.3,88.0,265,40,0,0,0,0
4.5,88.6,265,40,0,0,0,0
14.5,87.9,265,40,0,0,0,0
11.8,87.4,264,40,0,0,0,0
2.6,85.5,264,40,0,0,0,0
21.7,87.0,269,40,0,0,0,0
1.9,86.9,269,40,0,0,0,0
17.5,87.6,269,40,0,0,0,0
10.0,88.1,270,40,0,0,0,0
11.8,87.3,269,40,0,0,0,0
12.5,87.2,269,40,0,0,0,0
25.2,90.9,272,40,0,0,0,0
14.0,90.8,272,40,0,0,0,0
3.3,91.2,272,40,0,0,0,0
10.3,91.1,272,40,0,0,0,0
20.3,91.4,272,40,0,0,0,0
11.3,92.9,271,40,0,0,0,0
20.6,93.2,271,40,0,0,0,0
18.4,93.0,271,40,0,0,0,0
2.0,93.5,271,40,0,0,0,0
14.1,93.2,271,40,0,0,0,0
28.9,89.5,271,40,0,0,0,0
32.7,89.4,272,40,0,0,0,0
31.0,90.5,273,40,0,0,0,0
68.4,91.6,276,40,0,0,0,0
44.2,88.0,278,40,0,0,0,0
2.0,87.1,278,40,0,0,0,0
4.0,87.1,277,40,0,0,0,0
9.4,87.2,276,40,0,0,0,0
3.9,87.2,276,40,0,0,0,0
7.5,87.2,276,40,0,0,0,0
12.1,87.1,276,40,0,0,0,0
7.1,85.8,275,40,0,0,0,0
3.2,86.0,275,40,0,0,0,0
31.7,86.2,273,40,0,0,0,0
6.0,86.4,273,40,0,0,0,0
6.1,86.5,273,40,0,0,0,0
7.7,86.8,273,40,0,0,0,0
11.8,86.9,273,40,0,0,0,0
21.1,86.9,273,40,0,0,0,0
7.0,84.4,277,40,0,0,0,0
25.2,85.7,275,40,0,0,0,0
7.9,85.3,276,40,0,0,0,0
10.5,85.2,276,40,0,0,0,0
6.2,85.5,276,40,0,0,0,0
2.6,83.3,274,40,0,0,0,0
25.5,83.2,273,40,0,0,0,0
18.5,83.6,274,40,0,0,0,0
11.5,83.4,274,40,0,0,0,0
6.9,84.2,274,40,0,0,0,0
24.3,84.0,274,40,0,0,0,0
11.6,84.3,274,40,0,0,0,0
9.3,85.5,275,40,0,0,0,0
15.5,85.0,274,40,0,1,0,0
9.8,84.4,274,40,0,0,0,0
5.1,84.3,274,40,0,0,0,0
22.9,86.2,278,40,0,0,0,0
1.2,84.8,277,40,0,0,0,0
